"country";"datum";"tests_done";"vaccinations";"death";"cases";"hospital_admissions100k";"icu_admissions100k"
"Austria";"2021-05-17";5607426;573024;54;4307;NA;NA
"Austria";"2021-05-24";3668103;734166;48;3147;NA;NA
"Austria";"2021-05-31";4859495;865602;31;2256;NA;NA
"Austria";"2021-06-07";5649558;1073457;24;1793;NA;NA
"Austria";"2021-06-14";5665559;1060521;17;635;NA;NA
"Austria";"2021-06-21";5452121;1225005;11;759;NA;NA
"Austria";"2021-06-28";4807705;1334760;10;647;NA;NA
"Austria";"2021-07-05";4072081;1107960;2;674;NA;NA
"Austria";"2021-07-12";3403230;987216;4;2067;NA;NA
"Austria";"2021-07-19";2807249;882288;2;2514;NA;NA
"Austria";"2021-07-26";3220784;782358;5;3272;NA;NA
"Austria";"2021-08-02";2714307;666207;9;3603;NA;NA
"Austria";"2021-08-09";2584647;453744;9;5535;NA;NA
"Austria";"2021-08-16";2771748;351234;5;7855;NA;NA
"Austria";"2021-08-23";2703030;185745;20;9375;NA;NA
"Austria";"2021-08-30";2840922;151254;28;11054;NA;NA
"Austria";"2021-09-06";3308862;135333;34;14081;NA;NA
"Austria";"2021-09-13";NA;138204;48;14022;NA;NA
"Austria";"2021-09-20";NA;12690;NA;NA;NA;NA
"Belgium";"2019-12-30";NA;NA;0;0;NA;NA
"Belgium";"2020-01-06";NA;NA;0;0;NA;NA
"Belgium";"2020-01-13";NA;NA;0;0;NA;NA
"Belgium";"2020-01-20";NA;NA;0;0;NA;NA
"Belgium";"2020-01-27";NA;NA;0;0;NA;NA
"Belgium";"2020-02-03";NA;NA;0;0;NA;NA
"Belgium";"2020-02-10";NA;NA;0;0;NA;NA
"Belgium";"2020-02-17";NA;NA;0;343;NA;NA
"Belgium";"2020-02-24";82;NA;0;-324;NA;NA
"Belgium";"2020-03-02";4406;NA;0;388;NA;NA
"Belgium";"2020-03-09";9924;NA;18;1348;13.2263652490271;NA
"Belgium";"2020-03-16";17066;NA;203;3673;13.2263652490271;NA
"Belgium";"2020-03-23";27141;NA;785;8130;30.2974022863213;NA
"Belgium";"2020-03-30";38426;NA;1585;9694;30.7573743061366;NA
"Belgium";"2020-04-06";53517;NA;1980;11175;24.3785170502081;NA
"Belgium";"2020-04-13";65399;NA;1668;7963;16.680494756319;NA
"Belgium";"2020-04-20";105901;NA;1192;5703;12.1675617317166;NA
"Belgium";"2020-04-27";138836;NA;701;3095;7.73273716330916;NA
"Belgium";"2020-05-04";146708;NA;537;3051;5.41551962952291;NA
"Belgium";"2020-05-11";120385;NA;315;2071;3.723169745297;NA
"Belgium";"2020-05-18";85575;NA;234;1510;2.98547877012161;NA
"Belgium";"2020-05-25";87209;NA;162;1144;2.12628575197614;NA
"Belgium";"2020-06-01";75991;NA;113;847;1.56216912390084;NA
"Belgium";"2020-06-08";86874;NA;59;671;1.24105658176567;NA
"Belgium";"2020-06-15";88901;NA;43;668;1.05880351731057;NA
"Belgium";"2020-06-22";93868;NA;40;607;0.850514300790458;NA
"Belgium";"2020-06-29";85012;NA;25;637;0.685618671045369;NA
"Belgium";"2020-07-06";77973;NA;13;704;0.564116628075304;NA
"Belgium";"2020-07-13";86865;NA;20;1385;0.815799431370439;NA
"Belgium";"2020-07-20";99622;NA;15;2489;1.07616095202058;NA
"Belgium";"2020-07-27";145338;NA;22;3759;1.45802451564079;NA
"Belgium";"2020-08-03";141302;NA;33;4340;1.64027758009588;NA
"Belgium";"2020-08-10";127215;NA;77;3751;2.11760703462114;NA
"Belgium";"2020-08-17";137022;NA;43;3453;1.47538195035079;NA
"Belgium";"2020-08-24";145319;NA;28;3121;0.893907887565481;NA
"Belgium";"2020-08-31";159252;NA;19;3655;1.03276736524556;NA
"Belgium";"2020-09-07";213854;NA;19;6158;1.84856679661599;NA
"Belgium";"2020-09-14";251200;NA;28;10108;2.75115340153648;NA
"Belgium";"2020-09-21";256649;NA;40;11274;3.88806537504209;NA
"Belgium";"2020-09-28";259284;NA;85;18895;4.69518608905753;NA
"Belgium";"2020-10-05";309616;NA;144;38852;7.63727127240411;NA
"Belgium";"2020-10-12";418567;NA;240;72232;15.3613297183583;NA
"Belgium";"2020-10-19";467257;NA;512;105383;28.5443013806104;NA
"Belgium";"2020-10-26";416375;NA;1066;99584;39.8613488115364;NA
"Belgium";"2020-11-02";259546;NA;1435;54006;36.2943959786295;NA
"Belgium";"2020-11-09";199500;NA;1337;33967;28.1450803822801;NA
"Belgium";"2020-11-16";200292;NA;1132;22312;18.494346683515;NA
"Belgium";"2020-11-23";205086;NA;883;16261;13.9206626374275;NA
"Belgium";"2020-11-30";209927;NA;705;15289;11.4819430606712;NA
"Belgium";"2020-12-07";234165;NA;668;16840;11.2562964094411;NA
"Belgium";"2020-12-14";270716;NA;657;17714;10.8917902805309;NA
"Belgium";"2020-12-21";206608;NA;538;12607;9.74619958967024;NA
"Belgium";"2020-12-28";180686;0;457;11436;8.84361298474976;NA
"Belgium";"2021-01-04";308883;0;389;14920;8.01045611866931;NA
"Belgium";"2021-01-11";307153;87;344;14183;7.29012257820392;NA
"Belgium";"2021-01-18";312007;3374;376;15424;8.60060889880963;NA
"Belgium";"2021-01-25";354276;98401;297;16997;7.26408642613891;NA
"Belgium";"2021-02-01";348313;366834;301;15377;8.05384970544433;NA
"Belgium";"2021-02-08";299511;426499;281;12932;7.23805027407389;NA
"Belgium";"2021-02-15";266169;250481;213;15661;7.26408642613891;NA
"Belgium";"2021-02-22";288324;135826;176;16955;9.1039745053999;NA
"Belgium";"2021-03-01";309339;119167;173;16701;8.86097041945977;NA
"Belgium";"2021-03-08";340078;166251;173;21553;9.82430804586529;NA
"Belgium";"2021-03-15";416370;195222;182;29614;12.0026661019715;NA
"Belgium";"2021-03-22";481520;229646;190;34288;14.6670323299579;NA
"Belgium";"2021-03-29";415139;216068;257;30214;15.9948760852736;NA
"Belgium";"2021-04-05";285036;181783;292;24437;15.4481168919083;NA
"Belgium";"2021-04-12";282763;281195;270;24656;14.2591326142727;NA
"Belgium";"2021-04-19";311346;85109;282;24688;13.8859477680075;NA
"Belgium";"2021-04-26";332163;267948;260;21020;11.7162684292563;NA
"Belgium";"2021-05-03";370814;778643;259;21232;9.88505906735032;NA
"Belgium";"2021-05-10";295000;884448;144;14909;8.39231968228951;NA
"Belgium";"2021-05-17";356590;992910;130;17296;7.20333540465388;NA
"Belgium";"2021-05-24";308367;1272466;100;12228;5.30269630390785;NA
"Belgium";"2021-05-31";312159;1304836;86;9117;4.33935867750234;NA
"Belgium";"2021-06-07";278644;1759416;50;5281;2.99415748747661;NA
"Belgium";"2021-06-14";273753;1213139;42;3025;2.0394985784261;NA
"Belgium";"2021-06-21";294716;992285;28;2456;1.39727349415575;NA
"Belgium";"2021-06-28";452875;965456;22;4086;0.945980191695509;NA
"Belgium";"2021-07-05";427079;2108470;13;7510;1.02408864789055;NA
"Belgium";"2021-07-12";502874;1944066;9;9538;1.46670323299579;NA
"Belgium";"2021-07-19";421865;2068397;14;10381;1.74442218835594;NA
"Belgium";"2021-07-26";383701;1899568;22;11275;2.17835805610617;NA
"Belgium";"2021-08-02";351817;1360889;26;12224;2.62965135856642;NA
"Belgium";"2021-08-09";351607;884417;23;13323;3.33262746432179;NA
"Belgium";"2021-08-16";306404;511383;43;13804;3.57563155026192;NA
"Belgium";"2021-08-23";286614;469629;35;14092;3.65374000645697;NA
"Belgium";"2021-08-30";282049;290251;46;13731;4.18314176511225;NA
"Belgium";"2021-09-06";277319;155318;51;13697;3.69713359323199;NA
"Belgium";"2021-09-13";NA;41381;42;14390;3.73184846265201;NA
"Bulgaria";"2019-12-30";23370;NA;NA;NA;NA;NA
"Bulgaria";"2020-03-02";NA;NA;0;4;NA;NA
"Bulgaria";"2020-03-09";NA;NA;2;47;NA;NA
"Bulgaria";"2020-03-16";NA;NA;1;134;NA;NA
"Bulgaria";"2020-03-23";NA;NA;5;161;NA;NA
"Bulgaria";"2020-03-30";NA;NA;12;185;NA;NA
"Bulgaria";"2020-04-06";NA;NA;9;144;NA;NA
"Bulgaria";"2020-04-13";NA;NA;14;240;NA;NA
"Bulgaria";"2020-04-20";NA;NA;13;385;NA;NA
"Bulgaria";"2020-04-27";NA;NA;17;318;NA;NA
"Bulgaria";"2020-05-04";NA;NA;18;347;NA;NA
"Bulgaria";"2020-05-11";NA;NA;19;270;NA;NA
"Bulgaria";"2020-05-18";NA;NA;20;198;NA;NA
"Bulgaria";"2020-05-25";NA;NA;10;80;NA;NA
"Bulgaria";"2020-06-01";NA;NA;20;214;NA;NA
"Bulgaria";"2020-06-08";13175;NA;14;563;NA;NA
"Bulgaria";"2020-06-15";13137;NA;25;615;NA;NA
"Bulgaria";"2020-06-22";16357;NA;20;786;NA;NA
"Bulgaria";"2020-06-29";20082;NA;27;1049;NA;NA
"Bulgaria";"2020-07-06";22483;NA;22;1512;NA;NA
"Bulgaria";"2020-07-13";28230;NA;32;1481;NA;NA
"Bulgaria";"2020-07-20";32426;NA;40;1694;NA;NA
"Bulgaria";"2020-07-27";35208;NA;48;1528;NA;NA
"Bulgaria";"2020-08-03";32536;NA;59;1441;NA;NA
"Bulgaria";"2020-08-10";29994;NA;51;969;NA;NA
"Bulgaria";"2020-08-17";34968;NA;47;922;NA;NA
"Bulgaria";"2020-08-24";34715;NA;68;903;NA;NA
"Bulgaria";"2020-08-31";36540;NA;58;860;NA;NA
"Bulgaria";"2020-09-07";23980;NA;49;868;NA;NA
"Bulgaria";"2020-09-14";28047;NA;41;945;NA;NA
"Bulgaria";"2020-09-21";23428;NA;35;1192;NA;NA
"Bulgaria";"2020-09-28";26590;NA;48;1532;NA;NA
"Bulgaria";"2020-10-05";30015;NA;48;2815;NA;NA
"Bulgaria";"2020-10-12";35596;NA;94;5101;NA;NA
"Bulgaria";"2020-10-19";NA;NA;108;8386;NA;NA
"Bulgaria";"2020-10-26";62357;NA;204;16180;NA;NA
"Bulgaria";"2020-11-02";71318;NA;367;21091;NA;NA
"Bulgaria";"2020-11-09";60623;NA;465;23091;NA;NA
"Bulgaria";"2020-11-16";58036;NA;750;23569;NA;NA
"Bulgaria";"2020-11-23";52525;NA;934;20666;NA;NA
"Bulgaria";"2020-11-30";50922;NA;983;18935;NA;NA
"Bulgaria";"2020-12-07";47441;NA;891;18028;NA;NA
"Bulgaria";"2020-12-14";38010;NA;921;11746;NA;NA
"Bulgaria";"2020-12-21";26986;0;555;6521;NA;NA
"Bulgaria";"2020-12-28";32509;0;514;5335;NA;NA
"Bulgaria";"2021-01-04";37300;0;448;5460;NA;NA
"Bulgaria";"2021-01-11";47576;308;357;3302;NA;NA
"Bulgaria";"2021-01-18";47075;13394;337;3004;NA;NA
"Bulgaria";"2021-01-25";74094;24736;225;3931;NA;NA
"Bulgaria";"2021-02-01";63603;12795;286;4986;NA;NA
"Bulgaria";"2021-02-08";67209;9062;293;5945;NA;NA
"Bulgaria";"2021-02-15";66017;16655;230;6987;NA;NA
"Bulgaria";"2021-02-22";76397;25981;337;10372;NA;NA
"Bulgaria";"2021-03-01";78971;28451;423;13270;NA;NA
"Bulgaria";"2021-03-08";95963;18359;671;18249;NA;NA
"Bulgaria";"2021-03-15";108523;26928;734;24866;NA;NA
"Bulgaria";"2021-03-22";108619;34940;691;25330;NA;NA
"Bulgaria";"2021-03-29";111672;26472;879;24246;NA;NA
"Bulgaria";"2021-04-05";100794;27156;829;18994;NA;NA
"Bulgaria";"2021-04-12";90806;32108;777;14388;NA;NA
"Bulgaria";"2021-04-19";84415;73303;712;11119;NA;NA
"Bulgaria";"2021-04-26";83755;106710;585;7694;NA;NA
"Bulgaria";"2021-05-03";59307;153795;437;5008;NA;NA
"Bulgaria";"2021-05-10";79195;248800;330;3990;NA;NA
"Bulgaria";"2021-05-17";79276;179005;237;2454;NA;NA
"Bulgaria";"2021-05-24";73497;110319;166;1628;NA;NA
"Bulgaria";"2021-05-31";82558;154585;158;1199;NA;NA
"Bulgaria";"2021-06-07";79994;163763;80;863;NA;NA
"Bulgaria";"2021-06-14";83580;116647;90;696;NA;NA
"Bulgaria";"2021-06-21";76837;89984;37;499;NA;NA
"Bulgaria";"2021-06-28";93462;83484;57;522;NA;NA
"Bulgaria";"2021-07-05";88984;73034;56;409;NA;NA
"Bulgaria";"2021-07-12";93106;70755;34;503;NA;NA
"Bulgaria";"2021-07-19";98408;66268;20;721;NA;NA
"Bulgaria";"2021-07-26";111907;71125;21;1462;NA;NA
"Bulgaria";"2021-08-02";120672;71893;40;2901;NA;NA
"Bulgaria";"2021-08-09";121914;72029;89;5185;NA;NA
"Bulgaria";"2021-08-16";140869;80041;131;8061;NA;NA
"Bulgaria";"2021-08-23";151178;86973;256;10304;NA;NA
"Bulgaria";"2021-08-30";160428;85640;384;10434;NA;NA
"Bulgaria";"2021-09-06";140738;73596;407;9239;NA;NA
"Bulgaria";"2021-09-13";NA;79151;506;10914;NA;NA
"Croatia";"2019-12-30";NA;NA;0;0;NA;NA
"Croatia";"2020-01-06";NA;NA;0;0;NA;NA
"Croatia";"2020-01-13";NA;NA;0;0;NA;NA
"Croatia";"2020-01-20";NA;NA;0;0;NA;NA
"Croatia";"2020-01-27";4;NA;0;0;NA;NA
"Croatia";"2020-02-03";7;NA;0;0;NA;NA
"Croatia";"2020-02-10";8;NA;0;0;NA;NA
"Croatia";"2020-02-17";6;NA;0;0;NA;NA
"Croatia";"2020-02-24";173;NA;0;7;NA;NA
"Croatia";"2020-03-02";134;NA;0;5;NA;NA
"Croatia";"2020-03-09";511;NA;0;36;NA;NA
"Croatia";"2020-03-16";1958;NA;0;187;NA;NA
"Croatia";"2020-03-23";4184;NA;6;478;NA;NA
"Croatia";"2020-03-30";6399;NA;9;469;NA;NA
"Croatia";"2020-04-06";8853;NA;8;418;NA;NA
"Croatia";"2020-04-13";9100;NA;24;271;1.77420090114621;NA
"Croatia";"2020-04-20";9566;NA;8;159;2.51345127662379;NA
"Croatia";"2020-04-27";8922;NA;24;66;0.591400300382069;NA
"Croatia";"2020-05-04";10359;NA;11;91;0.985667167303449;NA
"Croatia";"2020-05-11";11033;NA;5;39;0.369625187738793;NA
"Croatia";"2020-05-18";9721;NA;4;18;0.369625187738793;NA
"Croatia";"2020-05-25";5364;NA;4;2;0.0246416791825862;NA
"Croatia";"2020-06-01";2796;NA;1;1;0;NA
"Croatia";"2020-06-08";2129;NA;3;5;0.0739250375477587;NA
"Croatia";"2020-06-15";2908;NA;0;65;0.147850075095517;NA
"Croatia";"2020-06-22";6426;NA;0;374;1.40457571340741;NA
"Croatia";"2020-06-29";9615;NA;6;460;1.65099250523328;NA
"Croatia";"2020-07-06";11925;NA;6;571;2.34095952234569;NA
"Croatia";"2020-07-13";13502;NA;1;632;2.46416791825862;NA
"Croatia";"2020-07-20";13454;NA;16;503;2.02061769297207;NA
"Croatia";"2020-07-27";13215;NA;13;403;1.87276761787655;NA
"Croatia";"2020-08-03";10413;NA;8;344;1.57706746768552;NA
"Croatia";"2020-08-10";13760;NA;9;967;1.72491754278104;NA
"Croatia";"2020-08-17";21000;NA;5;1604;2.41488455989345;NA
"Croatia";"2020-08-24";27640;NA;13;1948;4.6572773655088;NA
"Croatia";"2020-08-31";29117;NA;14;1841;5.76615292872518;NA
"Croatia";"2020-09-07";29368;NA;26;1569;5.39652774098638;NA
"Croatia";"2020-09-14";31921;NA;24;1389;4.21372714022224;NA
"Croatia";"2020-09-21";29604;NA;24;1275;5.05154423243017;NA
"Croatia";"2020-09-28";29413;NA;26;1462;5.71686957036;NA
"Croatia";"2020-10-05";32256;NA;26;2781;8.35352924289673;NA
"Croatia";"2020-10-12";39247;NA;39;5140;12.8875982124926;NA
"Croatia";"2020-10-19";49523;NA;74;10800;20.2308186089033;NA
"Croatia";"2020-10-26";57298;NA;125;15115;26.7115802339235;NA
"Croatia";"2020-11-02";57812;NA;232;15752;32.0341829373621;NA
"Croatia";"2020-11-09";57678;NA;255;16959;37.3321439616181;NA
"Croatia";"2020-11-16";57979;NA;304;19512;39.5991784464161;NA
"Croatia";"2020-11-23";65408;NA;359;22894;44.428947566203;NA
"Croatia";"2020-11-30";66355;NA;462;23741;54.014560768229;NA
"Croatia";"2020-12-07";71159;NA;466;25533;57.5136792121562;NA
"Croatia";"2020-12-14";66953;NA;617;19842;53.3985187886643;NA
"Croatia";"2020-12-21";40990;0;482;9518;41.5212294226578;NA
"Croatia";"2020-12-28";37287;2;333;7712;37.4553523575311;NA
"Croatia";"2021-01-04";44222;16;331;7265;29.6439400566512;NA
"Croatia";"2021-01-11";39723;723;252;4905;23.9517121654738;NA
"Croatia";"2021-01-18";34989;25245;204;3926;20.2061769297207;NA
"Croatia";"2021-01-25";39992;36306;195;3466;17.6188006155491;NA
"Croatia";"2021-02-01";41544;36172;144;2953;15.9185247519507;NA
"Croatia";"2021-02-08";41112;35328;141;2252;11.5076641782678;NA
"Croatia";"2021-02-15";42140;11274;110;2292;11.4830224990852;NA
"Croatia";"2021-02-22";44404;4514;88;3047;11.43373914072;NA
"Croatia";"2021-03-01";44887;8946;72;3544;12.7643898165797;NA
"Croatia";"2021-03-08";48289;24683;76;4566;14.9328575846473;NA
"Croatia";"2021-03-15";51348;31197;101;6615;17.4709505404536;NA
"Croatia";"2021-03-22";58558;18749;125;9733;23.0646117149007;NA
"Croatia";"2021-03-29";61323;26922;172;12642;30.9253073741457;NA
"Croatia";"2021-04-05";69661;30179;250;12774;37.3321439616181;NA
"Croatia";"2021-04-12";71419;71028;268;15262;39.8702369174245;NA
"Croatia";"2021-04-19";68602;65044;304;14836;42.3097631565005;NA
"Croatia";"2021-04-26";73784;78753;313;12486;37.8989025828176;NA
"Croatia";"2021-05-03";64994;125979;285;9225;30.6788905823198;NA
"Croatia";"2021-05-10";59453;136913;235;5759;24.4445457491255;NA
"Croatia";"2021-05-17";53635;143251;191;3554;15.6228246017597;NA
"Croatia";"2021-05-24";51156;185950;97;2121;11.3105307448071;NA
"Croatia";"2021-05-31";48099;160628;65;1427;6.60397002093311;NA
"Croatia";"2021-06-07";46631;303866;61;973;5.05154423243017;NA
"Croatia";"2021-06-14";42772;349254;30;603;3.91802699003121;NA
"Croatia";"2021-06-21";39483;263385;20;482;2.3163178431631;NA
"Croatia";"2021-06-28";52604;278310;17;580;2.09454273051983;NA
"Croatia";"2021-07-05";57322;209749;10;595;1.9713343346069;NA
"Croatia";"2021-07-12";77723;132065;11;772;2.16846776806759;NA
"Croatia";"2021-07-19";107644;137632;7;1035;2.29167616398052;NA
"Croatia";"2021-07-26";112673;104572;19;1139;3.10485157700586;NA
"Croatia";"2021-08-02";144797;63711;7;1302;3.59768516065759;NA
"Croatia";"2021-08-09";167617;61196;12;1979;4.31229385695259;NA
"Croatia";"2021-08-16";169409;56337;18;2770;5.93864468300328;NA
"Croatia";"2021-08-23";180248;53889;28;3492;8.32888756371414;NA
"Croatia";"2021-08-30";135516;41776;44;4692;9.95523838976483;NA
"Croatia";"2021-09-06";137983;34136;72;6060;10.8176971611554;NA
"Croatia";"2021-09-13";NA;4157;67;8166;NA;NA
"Cyprus";"2020-03-02";58;NA;NA;NA;0.112611978536157;NA
"Cyprus";"2020-03-09";14;NA;0;45;0.900895828289255;NA
"Cyprus";"2020-03-16";235;NA;0;76;2.59007550633161;0.675671871216941
"Cyprus";"2020-03-23";382;NA;7;167;5.96843486241632;1.91440363511467
"Cyprus";"2020-03-30";357;NA;2;208;4.16664320583781;1.01350780682541
"Cyprus";"2020-04-06";382;NA;3;193;2.25223957072314;1.01350780682541
"Cyprus";"2020-04-13";492;NA;0;78;1.23873176389773;0.450447914144628
"Cyprus";"2020-04-20";14238;NA;3;59;0.675671871216941;0.225223957072314
"Cyprus";"2020-04-27";15811;NA;0;49;0.675671871216941;0.112611978536157
"Cyprus";"2020-05-04";11904;NA;1;29;0.675671871216941;0.225223957072314
"Cyprus";"2020-05-11";11410;NA;1;12;0.112611978536157;NA
"Cyprus";"2020-05-18";14137;NA;0;19;0.112611978536157;NA
"Cyprus";"2020-05-25";15725;NA;0;14;0.112611978536157;NA
"Cyprus";"2020-06-01";14155;NA;1;22;0.112611978536157;NA
"Cyprus";"2020-06-08";9812;NA;0;16;0.112611978536157;NA
"Cyprus";"2020-06-15";5982;NA;1;-1;0.112611978536157;NA
"Cyprus";"2020-06-22";8069;NA;-1;12;0.225223957072314;NA
"Cyprus";"2020-06-29";9515;NA;1;5;NA;NA
"Cyprus";"2020-07-06";9471;NA;-1;21;NA;NA
"Cyprus";"2020-07-13";10103;NA;1;14;0.112611978536157;NA
"Cyprus";"2020-07-20";10703;NA;-1;25;0.112611978536157;NA
"Cyprus";"2020-07-27";15404;NA;2;107;0.900895828289255;NA
"Cyprus";"2020-08-03";22959;NA;0;83;0.450447914144628;NA
"Cyprus";"2020-08-10";23053;NA;0;102;0.225223957072314;NA
"Cyprus";"2020-08-17";24751;NA;0;79;0.450447914144628;0.225223957072314
"Cyprus";"2020-08-24";20858;NA;0;58;0.563059892680785;NA
"Cyprus";"2020-08-31";16347;NA;1;21;0.112611978536157;NA
"Cyprus";"2020-09-07";17787;NA;1;23;0.225223957072314;0.112611978536157
"Cyprus";"2020-09-14";17670;NA;0;79;0.675671871216941;NA
"Cyprus";"2020-09-21";21128;NA;0;110;1.68917967804235;0.225223957072314
"Cyprus";"2020-09-28";19817;NA;0;133;0.450447914144628;0.450447914144628
"Cyprus";"2020-10-05";21166;NA;3;208;0.788283849753098;NA
"Cyprus";"2020-10-12";NA;NA;0;658;3.26574737754855;0.337835935608471
"Cyprus";"2020-10-19";26361;NA;0;978;3.71619529169318;0.450447914144628
"Cyprus";"2020-10-26";22619;NA;1;1105;4.50447914144628;0.450447914144628
"Cyprus";"2020-11-02";26836;NA;1;1324;7.20716662631404;0.675671871216941
"Cyprus";"2020-11-09";25277;NA;13;1237;6.75671871216941;1.35134374243388
"Cyprus";"2020-11-16";81366;NA;4;1715;8.1080624546033;0.675671871216941
"Cyprus";"2020-11-23";79425;NA;5;1702;9.34679421850102;1.01350780682541
"Cyprus";"2020-11-30";57242;NA;17;2554;8.44589839021177;1.12611978536157
"Cyprus";"2020-12-07";61357;NA;16;2605;8.89634630435639;0.900895828289255
"Cyprus";"2020-12-14";59608;NA;14;2465;11.8242577462965;1.68917967804235
"Cyprus";"2020-12-21";52370;0;17;2278;11.486421810688;2.3648515492593
"Cyprus";"2020-12-28";62897;0;19;3713;13.9638853384835;1.46395572097004
"Cyprus";"2021-01-04";78455;3;18;3100;15.4278410594535;2.47746352779545
"Cyprus";"2021-01-11";63803;966;23;1568;13.1756014887304;3.04052342047624
"Cyprus";"2021-01-18";52141;6894;14;939;10.6981379609349;1.80179165657851
"Cyprus";"2021-01-25";103139;7366;13;797;7.88283849753098;1.01350780682541
"Cyprus";"2021-02-01";226847;9587;14;809;7.88283849753098;0.788283849753098
"Cyprus";"2021-02-08";226921;9559;10;700;6.08104684095247;1.23873176389773
"Cyprus";"2021-02-15";214857;9099;8;704;7.43239058338636;1.12611978536157
"Cyprus";"2021-02-22";256889;7630;1;1347;6.75671871216941;0.337835935608471
"Cyprus";"2021-03-01";290194;12394;2;1912;12.0494817033688;1.01350780682541
"Cyprus";"2021-03-08";319209;8268;8;2682;19.9323202008998;2.70268748486777
"Cyprus";"2021-03-15";327911;8761;3;2537;18.8062004155382;2.02701561365082
"Cyprus";"2021-03-22";304447;7913;10;2297;16.4413488662789;2.70268748486777
